Site ID,DBN,Site Name,Site Street Address,Site Zip Code,Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
M087,03M087,P.S. 087 WILLIAM SHERMAN,160 WEST 78 STREET,10024,160 WEST 78 STREET 10024,FY15,2.9
X121,11X121,P.S. 121 THROOP,2750 THROOP AVENUE,10469,2750 THROOP AVENUE 10469,FY15,2.9
X126,09X126,P.S. 126 DR MARJORIE H DUNBAR,175 WEST 166 STREET,10452,175 WEST 166 STREET 10452,FY15,2.9
M134,01M134,P.S. 134 HENRIETTA SZOLD,293 EAST BROADWAY,10002,293 EAST BROADWAY 10002,FY15,2.9
M140,01M140,P.S. 140 NATHAN STRAUS,123 RIDGE STREET,10002,123 RIDGE STREET 10002,FY13,2.9
K236,22K236,P.S. 236 MILL BASIN,6302 AVENUE U,11234,6302 AVENUE U 11234,FY13,2.9
K327,23K327,P.S. 327 DR. ROSE B. ENGLISH,111 BRISTOL STREET,11212,111 BRISTOL STREET 11212,FY13,2.9
KBKQ,17K700,PARKSIDE ECDC,525 PARKSIDE AVENUE,11226,525 PARKSIDE AVENUE 11226,FY14,2.9
MAGT,05M700,SAINT CHARLES BORROMEO,214 WEST 142ND STREET,10030,214 WEST 142ND STREET 10030,FY13,2.9
KBNT,16K700,SHIRLEY CHISHOLM DAY CARE CENTER SITE 1,2023 PACIFIC STREET,11233,2023 PACIFIC STREET 11233,FY14,2.9
X357,11X357,YOUNG VOICES ACADEMY,800 LYDIG AVENUE,10462,800 LYDIG AVENUE 10462,FY14,2.9
KABP,18K700,BATTALION CHRISTIAN ACADEMY,780 SCHENECTADY AVE,11203,780 SCHENECTADY AVE 11203,FY15,3
QASI,29Q700,"EARLY SUNRISE PRESCHOOL AND KINDERGARTEN, INC.",187-10 HILLSIDE AVENUE,11432,187-10 HILLSIDE AVENUE 11432,FY13,3
XAWX,09X700,FABIANA DAY CAY ACADEMY UNIVERSAL PRE K,937 TELLER AVENUE,10451,937 TELLER AVENUE 10451,FY15,3
X030,07X030,P.S. 030 WILTON,510 EAST 141 STREET,10454,510 EAST 141 STREET 10454,FY13,3
X049,07X049,P.S. 049 WILLIS AVENUE,383 EAST 139 STREET,10454,383 EAST 139 STREET 10454,FY13,3
M064,01M064,P.S. 064 ROBERT SIMON,600 EAST 6 STREET,10009,600 EAST 6 STREET 10009,FY15,3
M083,04M083,P.S. 083 LUIS MUNOZ RIVERA,219 EAST 109 STREET,10029,219 EAST 109 STREET 10029,FY13,3
M108,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,1615 MADISON AVENUE,10029,1615 MADISON AVENUE 10029,FY13,3
Q123,27Q123,P.S. 123,145-01 119 AVENUE,11436,145-01 119 AVENUE 11436,FY15,3
M145,03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",150 WEST 105 STREET,10025,150 WEST 105 STREET 10025,FY15,3
Q169,25Q169,P.S. 169 BAY TERRACE,18-25 212 STREET,11360,18-25 212 STREET 11360,FY13,3
X236,09X236,P.S. 236 LANGSTON HUGHES,1871 WALTON AVENUE,10453,1871 WALTON AVENUE 10453,FY15,3
Q253,27Q253,P.S. 253,1307 CENTRAL AVENUE,11691,1307 CENTRAL AVENUE 11691,FY15,3
K282,13K282,P.S. 282 PARK SLOPE,180 6 AVENUE,11217,180 6 AVENUE 11217,FY15,3
X003,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,2100 LAFONTAINE AVENUE,10457,2100 LAFONTAINE AVENUE 10457,FY15,3
X031,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,250 EAST 156 STREET,10451,250 EAST 156 STREET 10451,FY15,3
X386,10X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,125 EAST 181 STREET,10453,125 EAST 181 STREET 10453,FY13,3
M063,01M063,THE STAR ACADEMY - P.S.63,121 EAST 3 STREET,10009,121 EAST 3 STREET 10009,FY13,3
KBLT,14K700,TOMPKINS CHILDREN'S CENTER,730 PARK AVENUE,11206,730 PARK AVENUE 11206,FY15,3
KBOP,17K700,TRADITIONAL DAY CARE CENTER,1112 WINTHROP STREET,11212,1112 WINTHROP STREET 11212,FY13,3
QAOC,28Q700,AFRO AMERICAN PARENTS,117-02 GUY BREWER BLVD,11434,117-02 GUY BREWER BLVD 11434,FY15,3.1
MAUH,02M700,BELLEVUE-EDUCARE CHILDCARE CENTER,462 FIRST AVENUE,10016,462 FIRST AVENUE 10016,FY14,3.1
KBSA,32K700,BUSHWICK UNITED HDFC 2,77 WILSON AVENUE,11237,77 WILSON AVENUE 11237,FY15,3.1
XAJU,12X700,CHILDREN'S AID AT P.S. 211,1919 PROSPECT AVENUE,10457,1919 PROSPECT AVENUE 10457,FY14,3.1
KCHX,21K700,DEZZENTERPRISE LLC,3524 NEPTUNE AVENUE,11224,3524 NEPTUNE AVENUE 11224,FY15,3.1
M364,01M364,EARTH SCHOOL,600 EAST 6 STREET,10009,600 EAST 6 STREET 10009,FY13,3.1
MATR,01M700,ESCUELA HISPANA MONTESSORI 1,185 AVENUE D,10009,185 AVENUE D 10009,FY14,3.1
KCIS,19K700,GREATER BRIGHT LIGHT LEARNING CENTER,1320 SUTTER AVE,11208,1320 SUTTER AVE 11208,FY15,3.1
MAUP,02M700,HUDSON GUILD CHILDREN'S CENTER,459 WEST 26TH STREET,10001,459 WEST 26TH STREET 10001,FY15,3.1
XAHM,10X700,NORTHEAST BRONX DAY CARE CENTER (SUSAN WAGNER),5401 POST ROAD,10471,5401 POST ROAD 10471,FY14,3.1
XACM,10X700,OUR LADY OF MOUNT CARMEL,2465 BATHGATE AVE,10458,2465 BATHGATE AVE 10458,FY13,3.1
K139,22K139,P.S. 139 ALEXINE A. FENTY,330 RUGBY ROAD,11226,330 RUGBY ROAD 11226,FY15,3.1
Q155,27Q155,P.S. 155,130-02 115 AVENUE,11420,130-02 115 AVENUE 11420,FY13,3.1
X182,08X182,P.S. 182,601 STICKBALL BOULEVARD,10473,601 STICKBALL BOULEVARD 10473,FY15,3.1
K194,22K194,P.S. 194 RAOUL WALLENBERG,3117 AVENUE W,11229,3117 AVENUE W 11229,FY15,3.1
K203,22K203,P.S. 203 THE SCHOOL FOR FUTURE LEADERS,5101 AVENUE M,11234,5101 AVENUE M 11234,FY15,3.1
K243,16K243,P.S. 243K- THE WEEKSVILLE SCHOOL,1580 DEAN STREET,11213,1580 DEAN STREET 11213,FY15,3.1
K269,22K269,P.S. 269 NOSTRAND,1957 NOSTRAND AVENUE,11210,1957 NOSTRAND AVENUE 11210,FY15,3.1
K328,19K328,P.S. 328 PHYLLIS WHEATLEY,330 ALABAMA AVENUE,11207,330 ALABAMA AVENUE 11207,FY13,3.1
X458,12X458,SAMARA COMMUNITY SCHOOL,1550 VYSE AVENUE,10460,1550 VYSE AVENUE 10460,FY15,3.1
MBCM,05M700,SINGLETON GEMS,23 WEST 124TH STREET,10027,23 WEST 124TH STREET 10027,FY15,3.1
KAKF,22K700,ST MARK SCHOOL,2602 EAST 19TH STREET,11235,2602 EAST 19TH STREET 11235,FY15,3.1
XAEF,11X700,ST MARY SCHOOL,3956 CARPENTER AVE,10466,3956 CARPENTER AVE 10466,FY15,3.1
KBRT,23K700,THE SALVATION ARMY - BROWNSVILLE DAY CARE CENTER,280 RIVERDALE AVENUE 1,11212,280 RIVERDALE AVENUE 1 11212,FY15,3.1
KCJH,19K700,"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",2570 PITKIN AVENUE,11208,2570 PITKIN AVENUE 11208,FY15,3.2
MAWD,04M700,ADDIE MAE COLLINS 2,345 EAST 101ST STREET,10029,345 EAST 101ST STREET 10029,FY15,3.2
QAWX,28Q700,APPLE TREE NURSERY SCHOOL,8225 164TH STREET,11432,8225 164TH STREET 11432,FY15,3.2
XART,07X700,BRIGHTSIDE ACADEMY,331 EAST 150TH STREET,10451,331 EAST 150TH STREET 10451,FY15,3.2
M225,02M225,ELLA BAKER SCHOOL,317 EAST 67 STREET,10065,317 EAST 67 STREET 10065,FY15,3.2
KBOF,17K700,FRIENDS OF CROWN HEIGHTS 2,671 PROSPECT PLACE,11216,671 PROSPECT PLACE 11216,FY15,3.2
KBEZ,17K700,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER #11,995 CARROLL STREET,11225,995 CARROLL STREET 11225,FY14,3.2
KAFO,22K700,GOOD SHEPHERD SCHOOL,1943 BROWN STREET,11229,1943 BROWN STREET 11229,FY15,3.2
XAHB,11X700,GROW WITH US (SUSAN E. WAGNER),1732 DAVIDSON AVENUE,10456,1732 DAVIDSON AVENUE 10456,FY14,3.2
XANW,09X700,HIGHBRIDGE ADVISORY COUNCIL HEAD START,880 RIVER AVENUE,10452,880 RIVER AVENUE 10452,FY15,3.2
MAVN,03M700,OPEN DOOR CCC,820 COLUMBUS AVENUE,10025,820 COLUMBUS AVENUE 10025,FY15,3.2
M015,01M015,P.S. 015 ROBERTO CLEMENTE,333 EAST 4 STREET,10009,333 EAST 4 STREET 10009,FY13,3.2
K092,17K092,P.S. 092 ADRIAN HEGEMAN,601 PARKSIDE AVENUE,11226,601 PARKSIDE AVENUE 11226,FY15,3.2
X092,12X092,P.S. 092 BRONX,700 EAST 179 STREET,10457,700 EAST 179 STREET 10457,FY15,3.2
M102,04M102,P.S. 102 JACQUES CARTIER,315 EAST 113 STREET,10029,315 EAST 113 STREET 10029,FY13,3.2
Q106,27Q106,P.S. 106,180 BEACH 35 STREET,11691,180 BEACH 35 STREET 11691,FY14,3.2
M110,01M110,P.S. 110 FLORENCE NIGHTINGALE,285 DELANCY STREET,10002,285 DELANCY STREET 10002,FY13,3.2
X152,08X152,P.S. 152 EVERGREEN,1007 EVERGREEN AVENUE,10472,1007 EVERGREEN AVENUE 10472,FY13,3.2
K164,20K164,P.S. 164 CAESAR RODNEY,4211 14 AVENUE,11219,4211 14 AVENUE 11219,FY13,3.2
X179,07X179,P.S. 179,468 EAST 140 STREET,10454,468 EAST 140 STREET 10454,FY13,3.2
M191,03M191,P.S. 191 AMSTERDAM,210 WEST 61 STREET,10023,210 WEST 61 STREET 10023,FY15,3.2
K288,21K288,P.S. 288 THE SHIRLEY TANYHILL,2950 WEST 25 STREET,11224,2950 WEST 25 STREET 11224,FY14,3.2
