Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
Q144,P.S. 144 COL JEROMUS REMSEN,93-02 69 AVENUE 11375,FY15,4.5
K165,P.S. 165 IDA POSNER,76 LOTT AVENUE 11212,FY15,4.5
K184,P.S. 184 NEWPORT,273 NEWPORT STREET 11212,FY15,4.5
X196,P.S. 196,1250 WARD AVENUE 10472,FY15,4.5
Q205,P.S. 205 ALEXANDER GRAHAM BELL,75-25 BELL BOULEVARD 11364,FY15,4.5
K205,P.S. 205 CLARION,6701 20 AVENUE 11204,FY15,4.5
K287,P.S. 287 BAILEY K. ASHFORD,50 NAVY STREET 11201,FY15,4.5
QATT,PRESCHOOL R US,150-15 41ST AVENUE 11354,FY15,4.5
QBHB,RAINBOW CHILD DEV CENTER II,77-40 164 STREET 11366,FY14,4.5
QBKE,SHOLOM SHOLOM INC.,84-15 BEVERLY RD 11415,FY15,4.5
XADJ,ST. CLARE OF ASSISI SCHOOL,1911 HONE AVENUE 10461,FY15,4.5
RAGK,STATEN ISLAND HEAD START,16 OSGOOD AVENUE 10304,FY15,4.5
KBFN,STRONG PLACE FOR HOPE DAY CARE CENTER - 2ND,333 2ND STREET 11215,FY14,4.5
QBGC,SUNFLOWER KIDZ DAY CARE,10017 32ND AVENUE 11369,FY14,4.5
MAQI,THE CHILD CENTER OF NY,169 WEST 87TH STREET 10024,FY14,4.5
RAGC,YELED V'YALDA SILVER LAKE I HEAD START,10 GREGG PLACE 10301,FY14,4.5
QAUT,ALL MY CHILDREN DAY CARE 2,16907 JEWEL AVENUE 11365,FY15,4.4
QAOW,ALL MY CHILDREN DAY CARE 6,11716 SUTPHIN BOULEVARD 11434,FY14,4.4
QAPS,BE ABOVE 22 (NEW WORLD EDUCATION CENTER),13737 FARMERS BOULEVARD 11434,FY14,4.4
KBXX,BE ABOVE 42,1363 50TH STREET 11219,FY14,4.4
XAAS,BRONXDALE NURSERY,1065 BEACH AVENUE 10472,FY15,4.4
KAZT,BUSHWICK UNITED HDFC 1,136 STANHOPE STREET 11221,FY15,4.4
QAUK,CHABAD EARLY LEARNING CENTER,21212 26TH AVENUE 11360,FY15,4.4
QAVE,DE ANNA LEARNING CENTER,9140 120TH STREET 11418,FY15,4.4
MAUA,EDUCATION ALLIANCE - E BROADWAY,197 EAST BROADWAY 10002,FY15,4.4
KBYD,FOOTSTEPS CHILDCARE INC.,1125 BROADWAY 11221,FY15,4.4
QBHP,HAPPY MARYANN DAY SCHOOL,132-18 41ST AVE 11355,FY15,4.4
QATZ,"JUDI'S NURSERY, INC.",15005 70TH ROAD 11367,FY14,4.4
QBIY,KIDZ WORLD EARLY CHILDHOOD CENTER,217-21 MERRICK BOULEVARD 11413,FY15,4.4
KCII,KINGS BAY Y AT NORTH WILLIAMSBURG,14 HOPE STREET 11211,FY15,4.4
KCJK,LPBC DAY CARE,7524 14TH AVENUE 11228,FY15,4.4
MARB,LSSMNY: EARLY LIFE CHILDREN'S CENTER 11,110 WEST 146TH STREET 10039,FY14,4.4
KBJJ,LSSMNY: EARLY LIFE CHILDREN'S CENTER 8,265 MARCUS GARVEY BOULEVARD 11221,FY14,4.4
QBJP,MAGIC BEANS,43-12 46TH STREET 11104,FY15,4.4
QBBH,"NEW MILESTONE, INCORPORATED",13254 POPLE AVENUE 11355,FY15,4.4
MAXT,NICHOLAS CARDELL DAY CARE CENTER,84 VERMILYEA AVENUE 10034,FY15,4.4
M042,P.S. 042 BENJAMIN ALTMAN,71 HESTER STREET 10002,FY15,4.4
Q096,P.S. 096,130-01 ROCKAWAY BOULEVARD 11420,FY15,4.4
M098,P.S. 098 SHORAC KAPPOCK,512 WEST 212 STREET 10034,FY15,4.4
K199,P.S. 199 FREDERICK WACHTEL,1100 ELM AVENUE 11230,FY15,4.4
X004,P.S./M.S. 004 CROTONA PARK WEST,1701 FULTON AVENUE 10457,FY15,4.4
KBBE,PAL CAREY GARDENS,2964 WEST 23RD STREET 11224,FY14,4.4
MAXP,SAINT SPYRIDON PAROCHIAL SCHOOL,124 WADSWORTH AVENUE 10033,FY15,4.4
QAGW,SESAME SPROUT,96-08 57 AVENUE 11368,FY14,4.4
QAPL,SHOLOM DAY CARE 1,8204 LEFFERTS BOULEVARD 11418,FY14,4.4
QARK,SHOLOM DAY CARE 2,8437 118TH STREET 11418,FY14,4.4
RAGJ,STATEN ISLAND MENTAL HEALTH SOCIETY HEAD START,166 LOCKMAN AVENUE 10303,FY15,4.4
